nhse_ccg_code,ons_ccg_code,total_all,total_male,total_female,male_0_4,male_5_9,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_89,male_90_94,male_95,female_0_4,female_5_9,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_89,female_90_94,female_95
03A,E38000064,246133,123366,122767,7088,7764,7199,7185,9505,8648,8171,7928,8039,9323,8931,7770,6558,6495,5095,3482,2346,1289,455,95,6816,7495,6861,6884,9004,8071,7820,7802,7786,8897,8596,7511,6507,6681,5515,3990,3153,2095,953,330
03C,E38000096,376537,187172,189365,10091,10119,8568,11303,21931,18949,15825,13861,11960,12099,11524,9761,8071,7763,5871,4075,3045,1627,594,135,9519,9532,8207,13555,26985,17625,14172,11942,10464,11017,10731,9428,7903,8126,6495,4983,4183,2779,1321,398
03D,E38000069,143597,70317,73280,3439,3711,3757,3797,3489,3636,3360,3337,3685,4936,5728,5540,5015,5432,4580,3077,2150,1155,400,93,3216,3555,3574,3413,3337,3877,3647,3616,3872,5351,5893,5617,5187,5514,4736,3484,2648,1683,812,248
03E,E38000073,161885,79887,81998,3862,4613,4561,4274,3831,4261,4459,4921,5145,6314,6660,5994,4967,4922,4179,3026,2131,1213,439,115,3728,4237,4456,4053,3601,4309,4553,4817,5172,6325,6635,5761,4994,5270,4470,3555,2762,1897,1043,360
03F,E38000085,295374,149567,145807,9684,9572,8231,8618,11004,11302,11368,10229,10118,10741,10654,9446,7733,7212,5197,3810,2668,1437,443,100,9042,9127,7715,7978,11388,11723,10834,9055,8687,9615,9811,8903,7496,7082,5598,4437,3715,2327,982,292
03G,E38000095,276681,140606,136075,9662,9770,8318,7670,8446,10613,11454,10946,10208,10238,9769,8033,6435,6198,4907,3566,2565,1284,437,87,9191,9457,8039,7364,8447,10499,10514,9460,8572,9178,8681,7612,6346,6426,5284,4238,3375,2112,953,327
03H,E38000119,169001,84690,84311,4969,5285,4863,4668,4869,5845,5426,4939,5114,6244,6410,5862,4944,4938,3909,2803,2102,1077,339,84,4827,4973,4589,4390,4814,5628,5286,4746,4684,5969,6332,5660,4830,4843,4148,3286,2642,1638,757,269
03J,E38000121,191948,96308,95640,6356,6952,6545,6021,6039,6514,6936,6802,6455,7214,6393,5573,4821,4668,3566,2539,1750,818,288,58,5963,6667,6230,5840,5823,6843,7001,6296,6072,6704,5981,5320,4694,4783,3853,2961,2234,1453,681,241
03K,E38000122,172557,86478,86079,4687,5172,4877,4703,4918,5386,5542,4927,5082,6394,6823,6108,5266,5519,4404,3067,2018,1127,378,80,4561,4910,4622,4494,4631,5233,5150,4787,4941,6246,6464,5929,5337,5530,4600,3296,2631,1670,789,258
03L,E38000141,260737,129722,131015,7615,8337,7605,7387,7823,8591,8299,7907,8084,9905,9786,8553,7371,7335,6090,4221,2787,1397,522,107,7458,7905,7302,7150,7523,8571,8230,7886,7852,9521,9333,8521,7449,7412,6535,4965,3732,2239,1066,365
03M,E38000145,119185,59328,59857,2941,3191,3114,3278,3234,3534,3396,3171,3313,4145,4546,4345,3907,4137,3575,2414,1680,968,357,82,2698,2974,2949,2906,2976,3400,3128,2937,3239,4070,4514,4331,4044,4371,3787,2890,2163,1492,751,237
03N,E38000146,594647,300947,293700,16900,17631,15907,20216,30316,24903,21414,19702,18649,20974,19931,17205,14061,13323,11133,8274,5752,3150,1222,284,16051,16868,15198,19638,29746,22213,19900,17783,16645,19184,18411,16360,13713,13739,12485,9754,7721,5023,2374,894
03Q,E38000188,351348,172165,179183,8531,9363,8767,10514,12806,11463,11022,11043,10793,12429,12801,11539,9687,10029,8391,5606,4086,2242,846,207,7946,8940,8717,11656,14706,11762,10889,10573,10420,12445,12558,11284,9992,10639,8881,6686,5248,3590,1712,539
03R,E38000190,368260,184083,184177,10958,11361,10272,9887,10839,12512,12838,11753,12035,14512,14065,12308,10387,10160,8341,5496,3785,1802,638,134,10264,10797,9652,9451,10478,12764,12433,11165,11231,13981,13645,12031,10445,10545,8899,6475,4987,3035,1409,490
03T,E38000099,246850,121929,124921,5922,6720,6141,6332,6393,6940,6647,6248,6506,8222,8816,8650,8224,9268,8376,5616,3894,2103,766,145,5761,6370,6017,6073,5973,6917,6534,6090,6601,8474,9309,8832,8613,9646,8432,6091,4421,2986,1337,444
